Function	Gene Name	kon_ESC	koff_ESC	OR_ESC	kon_MAF	koff_MAF	OR_MAF				
mRNA Processing	Hnrnpa2b1	2.13668414	3.25393442	0	1.12514663	3.28889526	71.484375				
mRNA Processing	Malat1	3.61594775	18.44477395	NA	0.71471842	3.12624838	64.2				
mRNA Processing	Pabpc1	3.68850939	5.1325892	NA	1.4231407	144.646585	26.5				
mRNA Processing	Ern1	0.03159895	0.33134906	14.33333333	0.06366638	1.5123442	20.1				
mRNA Processing	Sf3b1	3.31822974	304.9087601	NA	1.07122908	159.812065	19.74747475				
mRNA Processing	Npm1	3.09282945	4.36941445	NA	0.94417033	2.83740194	19.71428571				
mRNA Processing	Fastkd5	0.32374484	1.65385952	4.722222222	0.37126017	70.53545246	15.12605042				
mRNA Processing	Ik	0.9970641	1.45753741	0	0.83820551	3.70081559	13.03703704				
mRNA Processing	Hspa8	2.99383478	7.08227652	NA	1.03835845	3.34668747	12.75				
mRNA Processing	Puf60	0.93757058	1.12538846	1.365384615	0.64961837	3.03182889	12.03663004				
mRNA Processing	Zrsr1	0.26121315	101.9418646	14.4	0.0656272	0.99337657	10.66666667				
mRNA Processing	App	0.23894425	20.19127401	2.699074074	1.36027404	31.7036949	10.1				
mRNA Processing	Srsf5	1.38705838	1.00610422	0	1.02074259	2.20461382	10.06666667				
mRNA Processing	Ncl	3.28056583	10.72798066	NA	1.05214164	17.53812033	9.794871795				
mRNA Processing	Coil	0.59511632	151.3938444	2.251082251	0.04148614	8.66475432	8.844444444				
mRNA Processing	Hnrnpm	1.2263129	2.30569048	1.392857143	0.39098238	1.18270861	8.610810811				
mRNA Processing	Son	2.21748704	4.45986393	NA	0.77990692	3.06563903	8.523809524				
mRNA Processing	Acin1	2.3625025	46.13488128	0	0.5952683	2.11502051	8.072727273				
mRNA Processing	Nup98	0.08535269	0.18372664	2.264957265	0.13158606	1.2658444	7.989583333				
mRNA Processing	Usp49	0.07475005	0.32638945	2.454545455	0.123410983	231.340777	7.409230769				
mRNA Processing	Pcf11	0.6130574	1.88060811	2.021390374	0.447786941	395.19066	7.111428571				
mRNA Processing	Rbm5	0.924626288	286.969431	1.355555556	0.90686278	3.70003367	7.103703704				
mRNA Processing	Rbm25	1.91587891	4.69266038	NA	0.73012971	1.87952328	7.0975				
mRNA Processing	Cwf19l1	0.307791	1.27801749	1.784615385	0.26471949	89.28598245	6.837606838				
mRNA Processing	Sf3a3	1.67025418	2.25316469	NA	0.83946226	15.10032874	6.806949807				
mRNA Processing	Prpf40a	1.23309897	2.38505801	3.32	0.58062797	2.06065333	6.548387097				
mRNA Processing	Prdx6	0.73791023	1.31141508	3.444444444	1.1799757	10.1261766	6.388571429				
mRNA Processing	Rrp1b	0.80112899	1.94527893	2.791666667	0.30693658	56.13403529	6.362433862				
mRNA Processing	Sf3b2	0.80233111	0.97021569	3.041666667	0.71100737	3.1993481	6.334429825				
mRNA Processing	Eftud2	1.52018692	1.88310195	29.66666667	0.78691523	3.62023622	6.30952381				
mRNA Processing	Tra2b	1.66879475	1.83161934	9.666666667	0.49022201	1.31474072	6.15				
mRNA Processing	Zc3h13	0.99308585	2.61115871	0.654545455	0.42556291	1.3176276	6.141935484				
mRNA Processing	Ddx23	0.25213449	79.08193642	2.363636364	0.12335683	0.62833304	5.660341556				
mRNA Processing	Aurkaip1	1.73716276	2.49436294	0.734693878	1.70649601	406.7463497	5.625				
mRNA Processing	Lsm6	1.25048603	4.05711123	2.272727273	0.99756124	39.80871276	5.413333333				
mRNA Processing	Lsm4	3.08629284	65.68786715	0	1.1169148	9.07881254	5.082608696				
mRNA Processing	Zcchc8	0.38943911	0.28417258	1.222826087	0.44004363	1.62600411	5.059171598				
mRNA Processing	Arl6ip4	0.20482	0.20739928	1.04	0.46711841	1.22217536	5.051679587				
mRNA Processing	Srsf4	1.31940009	10.85134535	0.944444444	0.47456955	131.2565484	4.867172676				
mRNA Processing	Ythdc1	0.89390748	88.91324026	1.982608696	0.5534163	80.15963894	4.846153846				
mRNA Processing	Pnn	1.54833971	2.0308706	0	0.72072243	4.02215659	4.785714286				
mRNA Processing	Snrpa1	2.35250711	9.0981542	0	0.95625069	60.69617452	4.533613445				
mRNA Processing	Rnps1	1.16024646	2.52939272	0.656410256	1.45584065	175.2752107	4.493859649				
mRNA Processing	U2af2	0.50248569	0.8056923	3.588541667	0.33533424	2.38945128	4.377880184				
mRNA Processing	Tardbp	1.08046615	1.0974135	1.222222222	0.89119753	17.99360317	4.345263158				
mRNA Processing	Cwc15	3.11845999	239.718123	0	1.14563271	5.65231617	4.289473684				
mRNA Processing	Ppil1	1.20904631	2.62660888	9.666666667	0.58966407	5.25147516	4.287587413				
mRNA Processing	Safb	0.94306886	2.30749792	1.777777778	0.45256225	3.89956475	4.212878788				
mRNA Processing	Prpf3	0.71268338	38.47147054	1.526627219	0.309513574	196.909738	4.133333333				
mRNA Processing	Snrnp70	1.50809687	4.07839591	0	0.62235262	32.45703935	4.111111111				
mRNA Processing	Jmjd6	1.10908452	10.56803063	0.455555556	0.69135749	10.86579962	4.015444015				
mRNA Processing	Scaf4	0.28111771	0.20961634	3.205128205	0.21050088	0.55060451	3.974025974				
mRNA Processing	Dhx16	1.87274477	32.17671061	0	0.19762929	8.63008106	3.956896552				
mRNA Processing	Ddx20	1.09253754	62.52351111	1.171875	0.37411299	87.63278609	3.808080808				
mRNA Processing	Prpf31	2.3163125	69.42037884	0.734693878	0.67564538	2.71809778	3.8				
mRNA Processing	Syf2	2.04939212	2.68174722	1.055555556	1.30726012	11.82686264	3.706666667				
mRNA Processing	Prpf19	1.04177501	1.273874	1.44	0.61519076	7.82588244	3.682336182				
mRNA Processing	Hnrnpf	0.33638329	0.48650326	1.444444444	0.19595194	0.37379994	3.680057389				
mRNA Processing	Srek1	0.8734608	3.9016685	0.770750988	0.73543235	123.4212038	3.656634747				
mRNA Processing	Fip1l1	0.97458852	1.5261367	2.375	0.5784298	42.55192276	3.64516129				
mRNA Processing	Ddx47	2.23006107	19.99883073	0	1.00697272	16.83594779	3.625				
mRNA Processing	Safb2	0.61774343	1.60960336	1.780748663	0.15716047	0.73936638	3.620689655				
mRNA Processing	Apobec1	0.07600477	2.02906695	6.083333333	0.100278212	104.032955	3.57168784				
mRNA Processing	Slbp	1.75958877	114.5930191	4.571428571	0.64305945	68.95364412	3.554765292				
mRNA Processing	Grsf1	1.63965649	241.3904109	0.62006079	0.64639058	60.29412829	3.527027027				
mRNA Processing	Gemin4	0.46299367	4.33974515	2.427631579	0.30903207	41.78751389	3.515625				
mRNA Processing	Rngtt	0.56360622	1.61753655	0.399449036	0.35914313	1.30038653	3.485636115				
mRNA Processing	Snw1	0.98454743	1.26098193	1.56	0.83264659	12.62001633	3.473484848				
mRNA Processing	Rbm14	0.3964883	0.78192569	2.607843137	0.28833917	1.42275488	3.470689655				
mRNA Processing	Prpf4	3.05678006	21.6654151	1.18125	0.77319306	181.5951285	3.452773613				
mRNA Processing	Srrt	1.81281153	3.86399273	5.785714286	0.94908562	79.79740759	3.411138411				
mRNA Processing	Ddx17	1.0363609	1.48113301	1.909090909	1.33763518	327.9522713	3.356971154				
mRNA Processing	Tsen34	0.37099078	1.56411428	1.425	0.13284855	0.23300377	3.206896552				
mRNA Processing	Tia1	0.37574113	2.13434273	1.302631579	0.55270762	120.1005037	3.171428571				
mRNA Processing	Larp7	1.18613943	1.94167491	3.183673469	0.5790438	85.81923924	3.170716113				
mRNA Processing	Tsen54	0.85637063	3.95029277	1.943181818	0.20498175	0.56299789	3.163133641				
mRNA Processing	C1qbp	3.18120685	19.65152177	NA	1.38010642	39.07492253	3.158974359				
mRNA Processing	Papola	1.54549602	5.70633798	0	1.28434186	8.65371112	3.158045977				
mRNA Processing	Casc3	0.30333008	0.13223117	0.764705882	0.37700202	1.96713405	3.083333333				
mRNA Processing	Thoc3	0.88701088	1.00299828	1.7	0.48475324	2.66203736	3.076681332				
mRNA Processing	Ddx46	0.81745444	1.40751548	0.453333333	0.72245134	3.6078898	3.071428571				
mRNA Processing	Fxr1	0.72453762	1.68856016	2.587878788	0.40614235	2.21969394	3.027027027				
mRNA Processing	Ppwd1	0.28809466	4.92213907	1.150510204	0.07057197	0.70855517	3.014308426				
mRNA Processing	Celf4	0.17504979	1.09938013	1.189542484	0.13215778	2.26766156	3				
mRNA Processing	Thoc5	1.57749689	5.74415116	1.666666667	0.91653631	89.77736009	2.986666667				
mRNA Processing	Zc3h14	0.39207834	0.7277306	0.822857143	0.69476281	4.92951925	2.934895833				
mRNA Processing	Ppie	2.19000603	41.69325696	4	0.57463712	2.28352825	2.933823529				
mRNA Processing	U2af1l4	1.93476754	222.0859221	3.126315789	1.66142894	410.5009934	2.905009759				
mRNA Processing	Thrap3	0.50980061	1.72501115	2.041666667	0.21577466	1.87304419	2.857988166				
mRNA Processing	Phrf1	2.86799742	384.9299614	0.472222222	0.83373579	93.73096501	2.85546416				
mRNA Processing	Sfpq	0.47595076	0.91105254	0.899122807	0.62211026	4.52588631	2.814814815				
mRNA Processing	Bud13	0.89599241	123.8597091	0.909090909	0.291014658	126.927196	2.790835181				
mRNA Processing	Srpk1	0.31804217	1.36133807	1.267241379	0.25079399	1.08672872	2.789473684				
mRNA Processing	Ncbp2	0.65314568	2.03621718	2.177777778	0.99838005	169.5069031	2.772727273				
