6,1,1,1,42653,42779,42850,42186,39485,31244
6,1,2,1,62646,61307,59542,55023,47010,31384
6,1,3,1,119584,110610,97437,80530,57803,30560
6,1,4,1,180969,165844,142397,110207,70923,31058
6,1,5,1,194985,185677,165568,130005,80240,30267
6,1,6,1,198262,193261,178105,143903,89043,30999
6,1,7,1,199279,196129,184414,153107,95714,30977
6,1,8,1,199548,197608,188739,160380,100958,31163
6,1,9,1,199749,198564,191180,164480,104776,31231
6,1,10,1,199749,198715,192576,167213,107385,31341
6,1,11,1,31289,31848,31597,31228,29762,24635
6,1,12,1,42516,42362,41285,39786,34945,24563
6,1,13,1,80209,74606,66874,57178,43565,24758
6,1,14,1,155315,137575,113907,86209,55647,24878
6,1,15,1,188489,174035,148671,110970,65840,24403
6,1,16,1,196219,187994,167486,129033,75621,24903
6,1,17,1,198604,193834,177983,141448,82643,24849
6,1,18,1,199290,196300,183750,149304,88019,24628
6,1,19,1,199510,197461,187324,155385,93310,24836
6,1,20,1,199681,198055,189396,158719,95649,24590
6,1,21,1,23083,23154,23384,23224,22652,19610
6,1,22,1,29106,28861,28736,27976,25777,19163
6,1,23,1,49637,47431,44709,39620,32053,19493
6,1,24,1,112949,98635,81836,62424,41518,19818
6,1,25,1,174617,154420,125821,90106,51842,19146
6,1,26,1,192082,178815,152792,111545,62044,19514
6,1,27,1,197214,189531,168964,127946,70581,19254
6,1,28,1,198647,193828,177380,138542,77909,19773
6,1,29,1,199344,196080,182776,146635,82721,19439
6,1,30,1,199335,196528,184934,150337,85475,19470
6,1,31,1,16282,16546,16902,16723,16328,14565
6,1,32,1,19544,19955,19941,19421,18216,14508
6,1,33,1,29506,28907,27594,25871,22024,14722
6,1,34,1,66668,60416,51931,41591,29303,14888
6,1,35,1,146200,123102,95776,66169,38004,14369
6,1,36,1,183657,164945,134013,92765,48861,14548
6,1,37,1,193944,181835,155544,111416,57006,14301
6,1,38,1,197208,189666,168794,126300,65978,14905
6,1,39,1,198834,193891,176879,135878,71479,14640
